signal_date,entry_date,exit_date,ticker,name,variant,timing_variant,entry_price_column,exit_price_column,entry_price,exit_price,gross_return,formal_cost_model_cost,net_return_formal_cost,roundtrip_10bp_net_return,roundtrip_20bp_net_return,roundtrip_40bp_net_return,holding_days,selected_rank,RS20,RS60,pool_rank,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,00631L_plus_excess_return_reconstruction_used,forward_return_as_rule,future_return_as_rule,diagnostic_only,not_live_rule,blocked_reason
2022-03-11,2022-03-14,2022-03-18,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.5214427165819046,2.2250357585658214,68,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-11,2022-03-14,2022-03-21,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.5214427165819046,2.2250357585658214,68,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-18,2022-03-18,2022-03-25,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.6906316798513708,2.435915038559627,62,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-18,2022-03-21,2022-03-28,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.6906316798513708,2.435915038559627,62,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-18,2022-03-21,2022-03-25,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.6906316798513708,2.435915038559627,62,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-18,2022-03-21,2022-03-28,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.6906316798513708,2.435915038559627,62,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-25,2022-03-25,2022-04-01,5425,台半,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2673241698038404,0.0426662880727763,31,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-25,2022-03-28,2022-04-06,5425,台半,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,9.0,1.0,0.2673241698038404,0.0426662880727763,31,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-25,2022-03-28,2022-04-01,5425,台半,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.2673241698038404,0.0426662880727763,31,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-25,2022-03-28,2022-04-06,5425,台半,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,9.0,1.0,0.2673241698038404,0.0426662880727763,31,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-01,2022-04-01,2022-04-08,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2714858142358711,0.058793383267095,46,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-01,2022-04-06,2022-04-13,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2714858142358711,0.058793383267095,46,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-01,2022-04-06,2022-04-08,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,2.0,1.0,0.2714858142358711,0.058793383267095,46,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-01,2022-04-06,2022-04-13,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.2714858142358711,0.058793383267095,46,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-08,2022-04-08,2022-04-15,6235,華孚,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3765141767349358,0.0846145659809557,45,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-08,2022-04-11,2022-04-18,6235,華孚,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3765141767349358,0.0846145659809557,45,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-08,2022-04-11,2022-04-15,6235,華孚,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.3765141767349358,0.0846145659809557,45,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-08,2022-04-11,2022-04-18,6235,華孚,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.3765141767349358,0.0846145659809557,45,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-15,2022-04-15,2022-04-22,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2413655121723639,0.0032964277046309,19,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-15,2022-04-18,2022-04-25,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2413655121723639,0.0032964277046309,19,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-15,2022-04-18,2022-04-22,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.2413655121723639,0.0032964277046309,19,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-04-15,2022-04-18,2022-04-25,1727,中華化,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.2413655121723639,0.0032964277046309,19,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
