decision_date,ticker,horizon_td,reason
2025-01-08,6245,10,entry_official_raw_close_missing_or_not_tradable
2025-01-08,6245,20,entry_official_raw_close_missing_or_not_tradable
2025-01-08,6245,40,entry_official_raw_close_missing_or_not_tradable
2025-01-09,6245,5,entry_official_raw_close_missing_or_not_tradable
2025-01-09,6245,10,entry_official_raw_close_missing_or_not_tradable
2025-01-09,6245,20,entry_official_raw_close_missing_or_not_tradable
2025-01-09,6245,40,entry_official_raw_close_missing_or_not_tradable
2025-01-10,6245,5,entry_official_raw_close_missing_or_not_tradable
2025-01-10,6245,10,entry_official_raw_close_missing_or_not_tradable
2025-01-10,6245,20,entry_official_raw_close_missing_or_not_tradable
2025-01-10,6245,40,entry_official_raw_close_missing_or_not_tradable
2023-09-27,6257,40,exit_official_raw_close_missing_or_not_tradable
2024-04-12,6257,40,exit_official_raw_close_missing_or_not_tradable
2024-05-27,6257,10,exit_official_raw_close_missing_or_not_tradable
2024-06-03,6257,5,exit_official_raw_close_missing_or_not_tradable
2024-08-07,6257,10,exit_official_raw_close_missing_or_not_tradable
2025-02-24,6257,40,exit_official_raw_close_missing_or_not_tradable
2025-03-25,6257,20,exit_official_raw_close_missing_or_not_tradable
2025-04-10,6257,10,exit_official_raw_close_missing_or_not_tradable
2025-06-30,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-01,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-02,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-03,6257,20,exit_adjusted_analysis_missing
2025-07-03,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-04,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-04,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-07,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-07,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-08,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-08,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-09,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-09,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-10,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-10,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-07-11,6257,20,intermediate_adjusted_missing_on_official_trading_day
2025-07-11,6257,40,intermediate_adjusted_missing_on_official_trading_day
2025-09-22,6257,40,exit_official_raw_close_missing_or_not_tradable
2025-09-23,6257,5,exit_official_raw_close_missing_or_not_tradable
2025-10-01,6257,5,entry_official_raw_close_missing_or_not_tradable
2025-10-01,6257,10,entry_official_raw_close_missing_or_not_tradable
2025-10-01,6257,20,entry_official_raw_close_missing_or_not_tradable
2025-10-01,6257,40,entry_official_raw_close_missing_or_not_tradable
2025-10-23,6257,20,exit_official_raw_close_missing_or_not_tradable
2025-10-29,6257,40,exit_official_raw_close_missing_or_not_tradable
2025-11-07,6257,10,exit_official_raw_close_missing_or_not_tradable
2025-11-21,6257,5,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6257,10,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6257,20,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6257,40,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6257,5,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6257,10,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6257,20,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6257,40,entry_official_raw_close_missing_or_not_tradable
2026-04-29,6257,40,exit_official_raw_close_missing_or_not_tradable
2026-05-11,6257,20,exit_official_raw_close_missing_or_not_tradable
2026-05-25,6257,10,exit_official_raw_close_missing_or_not_tradable
2026-05-28,6257,20,exit_official_raw_close_missing_or_not_tradable
2026-06-01,6257,5,exit_official_raw_close_missing_or_not_tradable
2026-06-08,6257,5,entry_official_raw_close_missing_or_not_tradable
2026-06-08,6257,10,entry_official_raw_close_missing_or_not_tradable
2026-06-08,6257,20,entry_official_raw_close_missing_or_not_tradable
2026-06-08,6257,40,entry_official_raw_close_missing_or_not_tradable
2026-06-11,6257,10,exit_official_raw_close_missing_or_not_tradable
2026-05-04,6261,5,exit_official_raw_close_missing_or_not_tradable
2026-05-04,6261,10,exit_official_raw_close_missing_or_not_tradable
2026-05-04,6261,20,exit_official_raw_close_missing_or_not_tradable
2026-05-05,6261,5,exit_official_raw_close_missing_or_not_tradable
2026-05-05,6261,10,exit_official_raw_close_missing_or_not_tradable
2026-05-05,6261,20,exit_official_raw_close_missing_or_not_tradable
2026-05-06,6261,5,exit_official_raw_close_missing_or_not_tradable
2026-05-06,6261,10,exit_official_raw_close_missing_or_not_tradable
2026-05-06,6261,20,exit_official_raw_close_missing_or_not_tradable
2026-05-07,6261,5,exit_official_raw_close_missing_or_not_tradable
2026-05-07,6261,10,exit_official_raw_close_missing_or_not_tradable
2026-05-07,6261,20,exit_official_raw_close_missing_or_not_tradable
2026-05-08,6261,5,entry_official_raw_close_missing_or_not_tradable
2026-05-08,6261,10,entry_official_raw_close_missing_or_not_tradable
2026-05-08,6261,20,entry_official_raw_close_missing_or_not_tradable
2026-05-08,6261,40,entry_official_raw_close_missing_or_not_tradable
2026-05-11,6261,5,entry_official_raw_close_missing_or_not_tradable
2026-05-11,6261,10,entry_official_raw_close_missing_or_not_tradable
