snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2018-07-20,turnover_share_90_reference,251,784517855809.0,126.0,0,19,871610526202.0,0.9000784550268088,True
2018-07-27,top200_buffer100,300,733271481790.0,150.5,0,20,796698466677.0,0.9203877156290364,True
2018-07-27,top300_buffer100,400,758455261462.0,200.5,0,25,796698466677.0,0.9519978927855717,True
2018-07-27,top500_reference_only,500,772451389115.0,250.5,0,35,796698466677.0,0.9695655526197589,True
2018-07-27,turnover_share_80_reference,139,637434670637.0,70.0,0,12,796698466677.0,0.8000952647690117,True
2018-07-27,turnover_share_90_reference,257,717238441991.0,129.0,0,19,796698466677.0,0.9002633643598879,True
2018-08-03,top200_buffer100,300,757696864644.0,150.5,0,18,823973184502.0,0.9195649553837645,True
2018-08-03,top300_buffer100,400,782770999444.0,200.5,0,27,823973184502.0,0.9499957209373238,True
2018-08-03,top500_reference_only,500,797232770712.0,250.5,0,32,823973184502.0,0.9675469853959366,True
2018-08-03,turnover_share_80_reference,141,659475132408.0,71.0,0,12,823973184502.0,0.800359944731186,True
2018-08-03,turnover_share_90_reference,258,741776475572.0,129.5,0,18,823973184502.0,0.9002434660787186,True
2018-08-10,top200_buffer100,300,684125953894.0,150.5,0,21,751691261305.0,0.9101156140970684,True
2018-08-10,top300_buffer100,400,708370385497.0,200.5,0,25,751691261305.0,0.9423687914998622,True
2018-08-10,top500_reference_only,500,722828408780.0,250.5,0,35,751691261305.0,0.9616027829365854,True
2018-08-10,turnover_share_80_reference,153,602068837117.0,77.0,0,13,751691261305.0,0.8009522900023571,True
2018-08-10,turnover_share_90_reference,278,676703165701.0,139.5,0,19,751691261305.0,0.9002408309578932,True
2018-08-17,top200_buffer100,300,736478220685.0,150.5,0,20,809991168330.0,0.9092422849540873,True
2018-08-17,top300_buffer100,400,762255549147.0,200.5,0,28,809991168330.0,0.941066494241636,True
2018-08-17,top500_reference_only,500,778023511021.0,250.5,0,38,809991168330.0,0.9605333260918025,True
2018-08-17,turnover_share_80_reference,155,648383122801.0,78.0,0,14,809991168330.0,0.8004817190017077,True
2018-08-17,turnover_share_90_reference,279,729154160380.0,140.0,0,20,809991168330.0,0.9002001366056055,True
